"","Pathway","N","DE","P.DE","combined_score"
"hsa01100","Metabolic pathways",1549,190,0.00223863518362906,344.897761364816
"hsa05200","Pathways in cancer",531,76,0.00128416301780496,129.098715836982
"hsa05022","Pathways of neurodegeneration - multiple diseases",476,64,0.0123050598069228,111.587694940193
"hsa05168","Herpes simplex virus 1 infection",513,49,0.716546655360672,99.5834533446393
"hsa05010","Alzheimer disease",384,55,0.005714923532428,93.3942850764676
"hsa05014","Amyotrophic lateral sclerosis",364,48,0.037360845321351,84.3626391546787
"hsa04151","PI3K-Akt signaling pathway",359,48,0.0302090271023559,83.8697909728976
"hsa05165","Human papillomavirus infection",331,43,0.0572796309352772,76.0427203690647
"hsa04010","MAPK signaling pathway",299,44,0.00792760355769911,73.8920723964423
"hsa05132","Salmonella infection",247,46,3.60316522581837e-05,70.6999639683477
"hsa05016","Huntington disease",306,39,0.0847016296012272,69.5152983703988
"hsa05131","Shigellosis",247,41,0.00113061133969403,65.6988693886603
"hsa05020","Prion disease",272,38,0.0277345573590416,65.172265442641
"hsa05012","Parkinson disease",266,36,0.0473075453388283,62.5526924546612
"hsa04144","Endocytosis",250,36,0.0208972850338128,60.9791027149662
"hsa05130","Pathogenic Escherichia coli infection",198,41,7.04212415659213e-06,60.7999929578758
"hsa04510","Focal adhesion",202,40,2.74189227134162e-05,60.1999725810773
"hsa04820","Cytoskeleton in muscle cells",229,37,0.00311646788454453,59.8968835321155
"hsa04810","Regulation of actin cytoskeleton",229,36,0.00554427528966257,58.8944557247103
"hsa05206","MicroRNAs in cancer",310,27,0.837703527715074,57.1622964722849
