"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000225630.1",602.570921590995,3.27336122793985,0.181510800187426,18.0339749731686,1.05432387308601e-72,1.58401618692442e-68
"ENSG00000125691.8",8171.22030048447,-2.71627629352492,0.155006122372996,-17.5236710133853,9.45245201186709e-69,7.10068195131456e-65
"ENSG00000161634.7",199.645656826574,-14.0438837909365,0.818054814353855,-17.1674116997027,4.6572954036644e-66,2.33237353815513e-62
"ENSG00000201076.1",8.78064491801754,-26.5597700038559,1.58418557684835,-16.7655673628182,4.35833992749874e-63,1.63699247676853e-59
"ENSG00000164756.8",44.5340750408484,-12.6412117046334,0.780084870109631,-16.2049184505487,4.65504158370385e-59,1.39874689507133e-55
"ENSG00000178372.6",30.1881637894771,7.76203076492551,0.511313809326722,15.1805615716623,4.75691644560634e-52,1.19113187797983e-48
"ENSG00000109193.6",82.0705797267342,-12.1749981489007,0.804353897006537,-15.1363699414037,9.32190902895498e-52,2.00074801787171e-48
"ENSG00000129596.4",18.6610936743868,-10.5590075019312,0.755762274740326,-13.9713344458205,2.3321555386825e-44,4.37978810164574e-41
"ENSG00000154639.14",53.8018909780331,5.06225578130137,0.375764147023624,13.4718967240456,2.28909152231111e-41,3.82125678124468e-38
"ENSG00000231486.3",64.371667711002,-7.30851996163737,0.561752259950645,-13.0102190639687,1.07034813195214e-38,1.60809103344489e-35
"ENSG00000243955.1",9.37001686593553,11.3850984246063,0.877079376837728,12.9806933389026,1.57448790733203e-38,2.15046421088695e-35
"ENSG00000235687.4",15.4650830468413,-7.65134862116022,0.606219478748773,-12.6214166475687,1.60900492931253e-36,2.01447417149929e-33
"ENSG00000132465.6",182.85508180056,-6.62662509920834,0.534152153959591,-12.4058754609265,2.4284387560089e-35,2.80652799002136e-32
"ENSG00000138653.5",10.5188451296224,9.46992197056383,0.783878613289659,12.0808525835677,1.33330011237743e-33,1.43082149202561e-30
"ENSG00000167754.8",10.4542376950048,11.202035724759,0.944033726127745,11.8661393282078,1.77469986276103e-32,1.77753938254145e-29
"ENSG00000205426.6",18.8878111540699,7.75198118649079,0.663761916326533,11.6788580299887,1.63476986366079e-31,1.53504890197748e-28
"ENSG00000163898.5",15.2941054471075,4.1365757825621,0.355459171989773,11.6372740064817,2.66394378360911e-31,2.35429949440843e-28
"ENSG00000172201.6",9.28071078233496,5.97287306361837,0.514592923945891,11.6069863880336,3.79765243238713e-31,3.16977389689912e-28
"ENSG00000111348.4",699.991748905383,-2.84679898921156,0.248780863651298,-11.4429982573007,2.54920738136714e-30,2.01575219461368e-27
"ENSG00000151365.2",44.2357770397672,-7.12617612338593,0.624256981336617,-11.4154528286217,3.50075942228495e-30,2.62977047802045e-27
"ENSG00000127324.4",46.1986778412742,7.31810504963736,0.648521872571182,11.2842840914886,1.56913870812188e-29,1.12260666432491e-26
"ENSG00000006075.11",126.709458957184,-7.07081662382057,0.627195508130782,-11.273704183395,1.76964934495693e-29,1.2085096253924e-26
"ENSG00000081237.14",157.591622737867,-3.49079588782353,0.311400550326391,-11.209986251356,3.64249957717104e-29,2.37934407162686e-26
"ENSG00000189143.8",115.228897896147,2.97316540065649,0.26734472238154,11.1210925511121,9.90515022218135e-29,6.20062403908553e-26
"ENSG00000108294.4",1385.59742429165,-2.14488680573901,0.197565270610313,-10.8565984249817,1.85531974414603e-27,1.114972953442e-24
"ENSG00000166348.13",33.7851650976863,3.8427212292831,0.356636090082627,10.7749084743297,4.52231658449173e-27,2.61320324482322e-24
"ENSG00000224259.1",10.4568172866301,8.11776470824442,0.757326603741887,10.718974704091,8.29173736086832e-27,4.61389118924762e-24
"ENSG00000175793.10",2.71728259387584,4.08474561859345,0.388430578503835,10.5160248565578,7.28840391985031e-26,3.91074930327968e-23
"ENSG00000129277.9",150.343261054689,-6.70940487972135,0.63907293814051,-10.4986527817052,8.76216926884069e-26,4.53940796879526e-23
"ENSG00000137673.4",24.8229946304918,9.80904569461945,0.938252050924377,10.4545955268155,1.39593111536549e-25,6.99082302575039e-23
"ENSG00000108298.5",2088.67481338969,1.11280200457476,0.10647989056986,10.4508184467439,1.45266149659578e-25,7.04025365317903e-23
"ENSG00000167757.9",5.40117821934032,9.13124343418765,0.888953760771124,10.2718992113456,9.43290820911893e-25,4.42875040418134e-22
"ENSG00000140263.9",21.7931816586084,3.70931867198086,0.362820556897774,10.2235625888915,1.55517961245042e-24,7.08030863559247e-22
"ENSG00000188257.6",7.41491884566403,9.31366534646959,0.915160851457177,10.1770801620718,2.50979240255776e-24,1.10903297223611e-21
"ENSG00000163347.5",8.39782954248045,7.72060404212586,0.76060642201106,10.1505901326897,3.29365687578663e-24,1.41382574005195e-21
"ENSG00000211592.2",649.767521766628,-4.85881310846689,0.481775979917728,-10.0852124452045,6.42260998108454e-24,2.68036923210595e-21
"ENSG00000100721.6",74.4535654034829,-7.39462433644614,0.735579987263493,-10.0527807505417,8.93109967360459e-24,3.62650922962798e-21
"ENSG00000184292.5",44.9287565657231,3.16248264714517,0.316214976440826,10.0010527102184,1.50785521561467e-23,5.96158335773547e-21
"ENSG00000105388.10",20.7831584398528,7.27922591656616,0.728633439887072,9.99024408994231,1.6816712979812e-23,6.47831527714604e-21
"ENSG00000253293.3",15.3458991442867,6.22922045007032,0.629295251280258,9.89872470417885,4.21616925472837e-23,1.58359317207598e-20
"ENSG00000214485.5",34.5458562522908,0.973010047112744,0.0990523539575151,9.82318953803038,8.94671150845349e-23,3.27842423665867e-20
"ENSG00000156804.3",37.3591483796172,3.34496188067515,0.340773263185689,9.81579907239515,9.62721943798213e-23,3.44379392467247e-20
"ENSG00000211896.2",191.19233990154,-4.95008628504017,0.508405114591896,-9.73649977737472,2.10686521799299e-22,7.36128907793644e-20
"ENSG00000147604.9",2133.96453095708,0.948718592284975,0.0976121448160216,9.71926796684071,2.49569188513379e-22,8.52165338232956e-20
"ENSG00000107099.11",33.2508893480631,-3.4806194903344,0.362019705166112,-9.61444761338979,6.94812797625036e-22,2.31974832700412e-19
"ENSG00000137970.7",108.449063645302,0.939914716568508,0.0983803634494113,9.55388538538818,1.24921332657974e-21,4.08003935185524e-19
