ENS Id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Gene Symbol
ENSG00000225630.1,602.5709216,3.273361228,0.1815108,18.03397497,1.05E-72,1.58E-68,
ENSG00000178372.6,30.18816379,7.762030765,0.511313809,15.18056157,4.76E-52,1.19E-48,CALML5 
ENSG00000154639.14,53.80189098,5.062255781,0.375764147,13.47189672,2.29E-41,3.82E-38,CXADR 
ENSG00000243955.1,9.370016866,11.38509842,0.877079377,12.98069334,1.57E-38,2.15E-35,
ENSG00000138653.5,10.51884513,9.469921971,0.783878613,12.08085258,1.33E-33,1.43E-30,NDST4 
ENSG00000167754.8,10.4542377,11.20203572,0.944033726,11.86613933,1.77E-32,1.78E-29,KLK5 
ENSG00000205426.6,18.88781115,7.751981186,0.663761916,11.67885803,1.63E-31,1.54E-28,KRT81 
ENSG00000163898.5,15.29410545,4.136575783,0.355459172,11.63727401,2.66E-31,2.35E-28,
ENSG00000172201.6,9.280710782,5.972873064,0.514592924,11.60698639,3.80E-31,3.17E-28,ID4 
ENSG00000127324.4,46.19867784,7.31810505,0.648521873,11.28428409,1.57E-29,1.12E-26,TSPAN8 
ENSG00000189143.8,115.2288979,2.973165401,0.267344722,11.12109255,9.91E-29,6.20E-26,CLDN4 
ENSG00000166348.13,33.7851651,3.842721229,0.35663609,10.77490847,4.52E-27,2.61E-24,
ENSG00000224259.1,10.45681729,8.117764708,0.757326604,10.7189747,8.29E-27,4.61E-24,
ENSG00000175793.10,2.717282594,4.084745619,0.388430579,10.51602486,7.29E-26,3.91E-23,
ENSG00000137673.4,24.82299463,9.809045695,0.938252051,10.45459553,1.40E-25,6.99E-23,
ENSG00000108298.5,2088.674813,1.112802005,0.106479891,10.45081845,1.45E-25,7.04E-23,
ENSG00000167757.9,5.401178219,9.131243434,0.888953761,10.27189921,9.43E-25,4.43E-22,
ENSG00000140263.9,21.79318166,3.709318672,0.362820557,10.22356259,1.56E-24,7.08E-22,
ENSG00000188257.6,7.414918846,9.313665346,0.915160851,10.17708016,2.51E-24,1.11E-21,
ENSG00000163347.5,8.397829542,7.720604042,0.760606422,10.15059013,3.29E-24,1.41E-21,
ENSG00000184292.5,44.92875657,3.162482647,0.316214976,10.00105271,1.51E-23,5.96E-21,
ENSG00000105388.10,20.78315844,7.279225917,0.72863344,9.99024409,1.68E-23,6.48E-21,
ENSG00000253293.3,15.34589914,6.22922045,0.629295251,9.898724704,4.22E-23,1.58E-20,
ENSG00000214485.5,34.54585625,0.973010047,0.099052354,9.823189538,8.95E-23,3.28E-20,
ENSG00000156804.3,37.35914838,3.344961881,0.340773263,9.815799072,9.63E-23,3.44E-20,
ENSG00000147604.9,2133.964531,0.948718592,0.097612145,9.719267967,2.50E-22,8.52E-20,
ENSG00000137970.7,108.4490636,0.939914717,0.098380363,9.553885385,1.25E-21,4.08E-19,
ENSG00000165215.5,7.231581188,3.466391775,0.365731677,9.477964299,2.59E-21,7.95E-19,
ENSG00000128283.6,2.502663931,3.958247949,0.41958341,9.433757041,3.96E-21,1.19E-18,
ENSG00000182795.12,4.173719608,5.549186133,0.588370006,9.431456532,4.04E-21,1.19E-18,
ENSG00000012223.8,36.55755762,6.179190923,0.661500338,9.341175754,9.53E-21,2.75E-18,
ENSG00000124766.4,246.8124165,2.052432799,0.222636576,9.218758361,3.01E-20,8.36E-18,
ENSG00000117461.10,41.37475646,2.799125363,0.304797807,9.183548227,4.17E-20,1.08E-17,
ENSG00000163993.6,114.6667273,4.205090568,0.457851819,9.18439196,4.14E-20,1.08E-17,
ENSG00000073792.11,6.439564072,5.596463956,0.614253375,9.111002368,8.16E-20,2.08E-17,
ENSG00000156689.2,26.59992149,6.764463525,0.742713548,9.107769132,8.41E-20,2.11E-17,
ENSG00000008441.12,2.426607007,3.984598435,0.437812343,9.101155995,8.94E-20,2.20E-17,
