"","label"
"1","2"
"2","2"
"3","2"
"4","2"
"5","2"
"6","2"
"7","2"
"8","2"
"9","2"
"10","2"
"11","2"
"12","2"
"13","2"
"14","2"
"15","2"
"16","2"
"17","2"
"18","2"
"19","2"
"20","2"
"21","2"
"22","2"
"23","5"
"24","5"
"25","5"
"26","1"
"27","5"
"28","5"
"29","5"
"30","5"
"31","5"
"32","5"
"33","5"
"34","5"
"35","5"
"36","5"
"37","5"
"38","5"
"39","5"
"40","5"
"41","5"
"42","5"
"43","5"
"44","5"
"45","5"
"46","5"
"47","5"
"48","5"
"49","5"
"50","5"
"51","5"
"52","5"
"53","5"
"54","5"
"55","5"
"56","5"
"57","5"
"58","5"
"59","5"
"60","5"
"61","5"
"62","5"
"63","5"
"64","5"
"65","1"
"66","5"
"67","5"
"68","5"
"69","5"
"70","5"
"71","5"
"72","1"
"73","5"
"74","5"
"75","5"
"76","5"
"77","1"
"78","3"
"79","1"
"80","1"
"81","3"
"82","1"
"83","3"
"84","1"
"85","3"
"86","3"
"87","1"
"88","3"
"89","3"
"90","1"
"91","3"
"92","3"
"93","1"
"94","3"
"95","3"
"96","3"
"97","3"
"98","3"
"99","1"
"100","3"
"101","1"
"102","1"
"103","1"
"104","1"
"105","1"
"106","3"
"107","1"
"108","3"
"109","1"
"110","1"
"111","1"
"112","3"
"113","3"
"114","3"
"115","1"
"116","1"
"117","1"
"118","3"
"119","3"
"120","3"
"121","1"
"122","1"
"123","1"
"124","3"
"125","3"
"126","1"
"127","1"
"128","3"
"129","1"
"130","1"
"131","1"
"132","3"
"133","1"
"134","3"
"135","3"
"136","1"
"137","1"
"138","1"
"139","1"
"140","3"
"141","3"
"142","1"
"143","3"
"144","3"
"145","3"
"146","3"
"147","3"
"148","3"
"149","3"
"150","3"
"151","3"
"152","1"
"153","1"
"154","3"
"155","3"
"156","1"
"157","1"
"158","3"
"159","1"
"160","3"
"161","1"
"162","1"
"163","1"
"164","1"
"165","1"
"166","3"
"167","3"
"168","3"
"169","1"
"170","3"
"171","1"
"172","1"
"173","3"
"174","1"
"175","1"
"176","3"
"177","1"
"178","3"
"179","1"
