,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,3
34,3
35,3
36,3
37,3
38,3
39,3
40,3
41,3
42,3
43,3
44,3
45,3
46,3
47,3
48,3
49,3
50,3
51,3
52,3
53,3
54,3
55,3
56,3
57,3
58,3
59,3
60,2
61,3
62,3
63,3
64,3
65,3
66,3
67,3
68,3
69,3
70,3
71,3
72,3
73,3
74,3
75,3
76,3
77,3
78,3
79,3
80,3
81,3
82,3
83,3
84,3
85,3
86,2
87,2
88,0
89,0
90,0
91,0
92,0
93,0
94,0
95,0
96,0
97,2
98,2
99,0
100,2
101,0
102,0
103,0
104,0
105,0
106,2
107,2
108,2
109,2
110,2
111,2
112,2
113,2
114,2
115,2
116,2
117,2
118,2
119,2
120,2
121,0
122,2
123,2
124,2
125,2
126,2
127,2
128,0
129,2
130,2
131,0
132,0
133,2
134,2
135,0
136,2
137,2
138,2
139,0
140,2
141,2
142,2
143,2
144,0
145,2
146,2
147,2
148,2
149,2
150,2
151,0
152,2
153,0
154,2
155,2
156,2
157,2
158,2
159,2
160,2
161,2
162,2
163,2
164,2
165,2
166,2
167,2
168,0
169,2
170,2
171,2
172,0
173,0
174,0
175,0
176,0
177,0
178,0
179,0
180,0
181,0
182,2
183,0
184,0
185,0
186,0
187,0
188,0
189,0
190,0
191,0
192,0
193,2
194,0
195,0
196,0
197,0
198,0
199,0
200,0
201,0
202,0
203,0
204,0
205,0
206,0
207,0
208,0
209,0
210,0
211,0
212,0
213,0
214,2
215,0
216,0
217,0
218,0
219,0
220,0
221,2
222,0
223,0
224,0
225,0
226,2
227,1
228,1
229,1
230,1
231,1
232,1
233,1
234,1
235,1
236,1
237,1
238,1
239,1
240,1
241,1
242,1
243,1
244,1
245,1
246,1
247,1
248,1
249,1
250,1
251,1
252,1
253,1
254,1
255,1
256,1
257,1
258,1
259,1
260,1
261,1
262,1
263,1
264,1
265,1
266,1
267,1
268,1
269,1
270,1
271,1
272,1
273,1
274,1
275,1
276,1
277,1
278,1
279,1
280,1
281,1
282,1
283,2
284,1
285,1
286,1
287,1
288,1
289,1
290,1
291,1
292,1
293,1
294,1
295,1
296,1
297,1
298,1
299,1
300,1
301,1
302,1
303,2
304,0
305,0
306,2
307,0
308,2
309,2
310,0
311,0
312,2
313,0
314,0
315,2
316,3
317,2
318,0
319,2
320,0
321,0
322,2
323,2
324,0
325,0
326,0
327,2
328,0
329,0
330,2
331,0
332,0
333,0
334,0
335,0
336,2
337,0
338,0
339,0
340,0
341,0
342,0
343,0
344,0
345,2
346,0
347,2
348,2
349,0
350,0
351,0
352,2
353,2
354,2
355,0
356,0
357,0
358,2
359,2
360,2
361,0
362,0
363,0
364,2
365,2
366,2
367,0
368,0
369,2
370,0
371,0
372,2
373,2
374,2
375,0
376,0
377,0
378,0
379,2
380,2
381,2
382,2
383,0
384,0
385,2
386,0
387,0
388,0
389,0
390,0
391,0
392,0
393,0
394,0
395,2
396,2
397,0
398,0
399,2
400,2
401,0
402,2
403,0
404,2
405,2
406,2
407,2
408,2
409,0
410,0
411,0
412,2
413,0
414,2
415,2
416,0
417,2
418,2
419,0
420,2
421,0
422,2
423,0
424,0
425,0
426,0
427,2
428,0
429,0
430,0
431,0
432,0
433,0
434,0
435,0
436,0
437,0
438,0
439,0
440,0
441,0
442,0
443,0
444,0
445,2
446,0
447,2
448,2
449,2
450,2
451,2
452,2
453,2
454,2
455,2
456,0
457,2
458,2
459,2
460,2
461,0
462,2
463,2
464,2
465,2
466,0
467,2
468,2
469,2
470,2
471,0
472,2
473,0
474,2
475,2
476,0
477,2
478,2
479,2
480,2
481,2
482,2
483,2
484,2
485,2
486,2
487,2
488,2
489,2
490,2
491,2
492,2
493,2
494,2
495,2
496,2
497,2
498,2
499,2
500,2
501,0
502,0
503,0
504,2
505,0
506,0
507,0
508,0
509,0
510,0
511,0
512,0
513,0
514,0
515,0
516,0
517,0
518,0
519,0
520,0
521,0
522,0
523,0
524,0
525,0
