cell	label
BC01_02	3
BC01_03	3
BC01_04	3
BC01_05	3
BC01_06	3
BC01_08	3
BC01_10	3
BC01_12	3
BC01_33	3
BC01_34	3
BC01_50	3
BC01_53	3
BC01_55	3
BC01_57	3
BC01_66	3
BC01_69	3
BC01_70	3
BC01_72	3
BC01_74	3
BC01_77	3
BC01_87	3
BC01_95	3
BC04_01	3
BC04_02	3
BC04_07	3
BC04_08	3
BC04_09	3
BC04_11	3
BC04_13	3
BC04_14	3
BC04_16	3
BC04_20	3
BC04_21	3
BC04_22	3
BC04_23	3
BC04_24	3
BC04_27	3
BC04_28	3
BC04_29	3
BC04_30	3
BC04_31	3
BC04_32	3
BC04_33	3
BC04_35	3
BC04_36	3
BC04_37	3
BC04_39	3
BC04_40	3
BC04_41	3
BC04_45	3
BC04_49	3
BC04_53	3
BC04_54	3
BC04_56	3
BC04_58	3
BC04_59	3
BC04_60	3
BC04_61	3
BC04_62	3
BC04_63	3
BC04_64	3
BC04_66	3
BC04_69	3
BC04_71	3
BC04_72	0
BC04_77	3
BC04_78	3
BC04_82	3
BC04_85	3
BC04_86	3
BC04_88	3
BC04_89	1
BC04_90	3
BC04_91	3
BC04_92	3
BC04_93	3
BC04_96	1
BC07_01	4
BC07_03	0
BC07_04	0
BC07_06	3
BC07_07	3
BC07_08	3
BC07_09	0
BC07_12	3
BC07_15	3
BC07_16	4
BC07_18	3
BC07_20	3
BC07_23	3
BC07_24	3
BC07_27	3
BC07_30	1
BC07_31	3
BC07_35	3
BC07_36	3
BC07_38	3
BC07_39	3
BC07_42	2
BC07_43	3
BC07_44	3
BC07_50	0
BC07_52	2
BC07_55	0
BC07_56	0
BC07_57	3
BC07_58	3
BC07_59	3
BC07_60	1
BC07_61	1
BC07_63	1
BC07_65	3
BC07_66	3
BC07_67	3
BC07_68	0
BC07_69	0
BC07_72	0
BC07_73	3
BC07_75	3
BC07_78	3
BC07_79	0
BC07_80	0
BC07_83	0
BC07_87	3
BC07_89	3
BC07_93	0
BC07_95	3
BC07LN_02	3
BC07LN_03	1
BC07LN_04	0
BC07LN_05	0
BC07LN_06	3
BC07LN_10	3
BC07LN_13	3
BC07LN_15	3
BC07LN_16	1
BC07LN_18	1
BC07LN_19	1
BC07LN_22	1
BC07LN_23	3
BC07LN_26	3
BC07LN_27	1
BC07LN_29	3
BC07LN_30	3
BC07LN_31	3
BC07LN_34	3
BC07LN_35	3
BC07LN_36	3
BC07LN_40	3
BC07LN_41	3
BC07LN_42	3
BC07LN_49	1
BC07LN_50	1
BC07LN_51	3
BC07LN_52	3
BC07LN_53	0
BC07LN_54	1
BC07LN_57	3
BC07LN_59	1
BC07LN_60	3
BC07LN_62	1
BC07LN_64	0
BC07LN_67	0
BC07LN_68	0
BC07LN_71	1
BC07LN_73	3
BC07LN_75	3
BC07LN_79	3
BC07LN_81	0
BC07LN_82	3
BC07LN_83	0
BC07LN_84	1
BC07LN_86	3
BC07LN_89	0
BC07LN_90	1
BC07LN_91	3
BC07LN_94	1
BC07LN_95	3
BC07LN_96	0
BC03_03	0
BC03_06	1
BC03_09	4
BC03_11	4
BC03_13	4
BC03_16	4
BC03_17	4
BC03_19	4
BC03_20	4
BC03_21	4
BC03_23	4
BC03_24	1
BC03_25	0
BC03_26	4
BC03_28	1
BC03_29	4
BC03_35	4
BC03_37	4
BC03_41	4
BC03_43	4
BC03_50	1
BC03_53	1
BC03_57	0
BC03_58	1
BC03_60	1
BC03_66	0
BC03_78	0
BC03_81	1
BC03_85	0
BC03_86	0
BC03_92	0
BC03_93	1
BC03_94	0
BC03LN_01	1
BC03LN_04	1
BC03LN_05	4
BC03LN_06	1
BC03LN_10	1
BC03LN_11	1
BC03LN_13	1
BC03LN_14	1
BC03LN_17	1
BC03LN_19	4
BC03LN_20	1
BC03LN_21	1
BC03LN_23	4
BC03LN_25	4
BC03LN_26	1
BC03LN_27	1
BC03LN_28	1
BC03LN_31	1
BC03LN_32	1
BC03LN_34	1
BC03LN_35	4
BC03LN_37	1
BC03LN_38	1
BC03LN_42	1
BC03LN_44	1
BC03LN_47	1
BC03LN_48	1
BC03LN_49	1
BC03LN_50	1
BC03LN_51	1
BC03LN_53	1
BC03LN_56	0
BC03LN_57	4
BC03LN_58	0
BC03LN_61	4
BC03LN_62	1
BC03LN_63	0
BC03LN_64	1
BC03LN_65	1
BC03LN_68	1
BC03LN_69	1
BC03LN_70	0
BC03LN_71	1
BC03LN_72	1
BC03LN_73	1
BC03LN_74	0
BC03LN_78	1
BC03LN_79	1
BC03LN_85	1
BC03LN_89	4
BC03LN_91	1
BC03LN_93	0
BC03LN_95	1
BC08_01	2
BC08_04	2
BC08_06	2
BC08_08	2
BC08_10	0
BC08_22	2
BC08_24	2
BC08_27	2
BC08_31	2
BC08_33	2
BC08_36	2
BC08_48	2
BC08_51	2
BC08_54	2
BC08_56	2
BC08_59	2
BC08_70	2
BC08_73	2
BC08_83	2
BC08_88	2
BC08_94	2
BC08_95	2
BC09_05	0
BC09_13	3
BC09_19	0
BC09_21	0
BC09_25	0
BC09_29	0
BC09_31	0
BC09_33	0
BC09_34	0
BC09_37	0
BC09_42	0
BC09_44	3
BC09_45	0
BC09_46	0
BC09_48	0
BC09_49	0
BC09_50	3
BC09_53	1
BC09_57	1
BC09_64	0
BC09_65	0
BC09_70	3
BC09_83	0
BC09_86	0
BC09_92	0
BC09_93	0
BC09_Re_01	3
BC09_Re_03	0
BC09_Re_05	3
BC09_Re_06	0
BC09_Re_07	0
BC09_Re_13	3
BC09_Re_14	0
BC09_Re_15	0
BC09_Re_21	0
BC09_Re_32	0
BC09_Re_37	0
BC09_Re_39	0
BC09_Re_41	0
BC09_Re_43	0
BC09_Re_44	0
BC09_Re_46	0
BC09_Re_54	0
BC09_Re_57	0
BC09_Re_59	0
BC09_Re_60	0
BC09_Re_61	0
BC09_Re_62	0
BC09_Re_66	0
BC09_Re_74	0
BC09_Re_80	0
BC09_Re_83	0
BC09_Re_88	0
BC09_Re_94	0
BC09_Re_95	0
BC10_07	0
BC10_09	2
BC10_16	2
BC10_20	2
BC10_43	0
BC10_47	2
BC10_54	2
BC10_58	2
BC10_67	2
BC10_69	2
BC10_73	2
BC10_80	2
BC10_81	2
BC10_85	2
BC10_95	2
BC02_02	2
BC02_08	2
BC02_09	2
BC02_10	2
BC02_11	2
BC02_12	2
BC02_13	2
BC02_14	2
BC02_15	2
BC02_18	2
BC02_19	2
BC02_22	2
BC02_24	2
BC02_25	2
BC02_26	2
BC02_28	2
BC02_31	2
BC02_34	2
BC02_44	2
BC02_47	2
BC02_50	2
BC02_51	2
BC02_53	2
BC02_54	2
BC02_55	2
BC02_58	2
BC02_59	2
BC02_60	2
BC02_61	2
BC02_62	2
BC02_63	2
BC02_64	2
BC02_66	2
BC02_67	2
BC02_68	3
BC02_70	2
BC02_71	2
BC02_73	2
BC02_74	2
BC02_75	2
BC02_76	2
BC02_79	2
BC02_81	2
BC02_82	2
BC02_83	2
BC02_86	2
BC02_88	2
BC02_89	2
BC02_90	2
BC02_93	2
BC02_94	2
BC02_95	2
BC02_96	2
BC05_01	4
BC05_02	4
BC05_04	4
BC05_07	4
BC05_08	4
BC05_09	4
BC05_12	4
BC05_13	4
BC05_16	4
BC05_17	4
BC05_18	4
BC05_20	4
BC05_21	4
BC05_22	4
BC05_23	4
BC05_25	4
BC05_26	4
BC05_27	4
BC05_28	4
BC05_29	4
BC05_30	4
BC05_31	4
BC05_32	4
BC05_33	4
BC05_34	4
BC05_35	4
BC05_36	4
BC05_37	4
BC05_38	4
BC05_39	4
BC05_41	4
BC05_42	4
BC05_43	4
BC05_44	4
BC05_45	4
BC05_46	4
BC05_47	4
BC05_48	4
BC05_49	4
BC05_50	4
BC05_52	4
BC05_53	4
BC05_55	4
BC05_57	4
BC05_59	4
BC05_60	4
BC05_61	4
BC05_62	4
BC05_63	4
BC05_64	4
BC05_68	4
BC05_69	4
BC05_70	4
BC05_71	4
BC05_72	4
BC05_73	4
BC05_74	0
BC05_75	4
BC05_77	4
BC05_78	4
BC05_79	4
BC05_80	4
BC05_81	4
BC05_83	4
BC05_84	4
BC05_85	4
BC05_86	4
BC05_87	4
BC05_88	4
BC05_90	4
BC05_91	4
BC05_92	4
BC05_93	4
BC05_94	4
BC05_95	4
BC05_96	4
BC11_01	3
BC11_04	3
BC11_07	3
BC11_28	3
BC11_43	3
BC11_56	3
BC11_69	3
BC11_70	3
BC11_78	3
BC11_81	3
BC11_88	3
BC06_04	0
BC06_08	2
BC06_10	2
BC06_21	1
BC06_23	2
BC06_25	1
BC06_26	1
BC06_27	2
BC06_28	2
BC06_29	0
BC06_32	2
BC06_39	2
BC06_40	1
BC06_43	3
BC06_58	1
BC06_60	2
BC06_61	0
BC06_74	2
