,Celltype
BC01_02,5
BC01_03,5
BC01_04,5
BC01_05,5
BC01_06,5
BC01_08,5
BC01_10,5
BC01_12,5
BC01_33,5
BC01_34,5
BC01_50,2
BC01_53,5
BC01_55,5
BC01_57,5
BC01_66,5
BC01_69,5
BC01_70,5
BC01_72,5
BC01_74,2
BC01_77,5
BC01_87,5
BC01_95,5
BC04_01,5
BC04_02,2
BC04_07,5
BC04_08,2
BC04_09,9
BC04_11,2
BC04_13,5
BC04_14,2
BC04_16,2
BC04_20,4
BC04_21,0
BC04_22,2
BC04_23,5
BC04_24,5
BC04_27,5
BC04_28,2
BC04_29,5
BC04_30,2
BC04_31,5
BC04_32,5
BC04_33,4
BC04_35,2
BC04_36,4
BC04_37,5
BC04_39,5
BC04_40,4
BC04_41,4
BC04_45,4
BC04_49,5
BC04_53,5
BC04_54,2
BC04_56,2
BC04_58,4
BC04_59,4
BC04_60,5
BC04_61,2
BC04_62,2
BC04_63,4
BC04_64,5
BC04_66,9
BC04_69,4
BC04_71,4
BC04_72,8
BC04_77,4
BC04_78,5
BC04_82,5
BC04_85,5
BC04_86,5
BC04_88,2
BC04_89,9
BC04_90,4
BC04_91,2
BC04_92,2
BC04_93,5
BC04_96,9
BC07_01,5
BC07_03,0
BC07_04,8
BC07_06,4
BC07_07,2
BC07_08,9
BC07_09,8
BC07_12,5
BC07_15,5
BC07_16,0
BC07_18,5
BC07_20,4
BC07_23,7
BC07_24,4
BC07_27,9
BC07_30,0
BC07_31,9
BC07_35,5
BC07_36,5
BC07_38,9
BC07_39,5
BC07_42,2
BC07_43,5
BC07_44,4
BC07_50,0
BC07_52,2
BC07_55,2
BC07_56,0
BC07_57,9
BC07_58,2
BC07_59,4
BC07_60,0
BC07_61,9
BC07_63,3
BC07_65,5
BC07_66,9
BC07_67,5
BC07_68,6
BC07_69,0
BC07_72,6
BC07_73,4
BC07_75,4
BC07_78,4
BC07_79,0
BC07_80,6
BC07_83,0
BC07_87,4
BC07_89,4
BC07_93,0
BC07_95,4
BC07LN_02,9
BC07LN_03,3
BC07LN_04,0
BC07LN_05,0
BC07LN_06,9
BC07LN_10,4
BC07LN_13,9
BC07LN_15,5
BC07LN_16,3
BC07LN_18,3
BC07LN_19,3
BC07LN_22,3
BC07LN_23,4
BC07LN_26,5
BC07LN_27,0
BC07LN_29,5
BC07LN_30,4
BC07LN_31,9
BC07LN_34,5
BC07LN_35,5
BC07LN_36,5
BC07LN_40,9
BC07LN_41,5
BC07LN_42,5
BC07LN_49,3
BC07LN_50,0
BC07LN_51,9
BC07LN_52,4
BC07LN_53,6
BC07LN_54,3
BC07LN_57,9
BC07LN_59,0
BC07LN_60,9
BC07LN_62,0
BC07LN_64,0
BC07LN_67,0
BC07LN_68,0
BC07LN_71,3
BC07LN_73,9
BC07LN_75,9
BC07LN_79,5
BC07LN_81,0
BC07LN_82,9
BC07LN_83,0
BC07LN_84,3
BC07LN_86,9
BC07LN_89,6
BC07LN_90,0
BC07LN_91,9
BC07LN_94,3
BC07LN_95,9
BC07LN_96,0
BC03_03,6
BC03_06,0
BC03_09,5
BC03_11,5
BC03_13,5
BC03_16,5
BC03_17,5
BC03_19,5
BC03_20,5
BC03_21,9
BC03_23,4
BC03_24,3
BC03_25,6
BC03_26,5
BC03_28,3
BC03_29,5
BC03_35,4
BC03_37,5
BC03_41,5
BC03_43,5
BC03_50,3
BC03_53,0
BC03_57,6
BC03_58,3
BC03_60,0
BC03_66,6
BC03_78,0
BC03_81,0
BC03_85,6
BC03_86,6
BC03_92,6
BC03_93,0
BC03_94,0
BC03LN_01,3
BC03LN_04,3
BC03LN_05,5
BC03LN_06,0
BC03LN_10,3
BC03LN_11,3
BC03LN_13,3
BC03LN_14,3
BC03LN_17,3
BC03LN_19,9
BC03LN_20,3
BC03LN_21,3
BC03LN_23,5
BC03LN_25,9
BC03LN_26,3
BC03LN_27,0
BC03LN_28,9
BC03LN_31,3
BC03LN_32,3
BC03LN_34,3
BC03LN_35,9
BC03LN_37,3
BC03LN_38,3
BC03LN_42,3
BC03LN_44,3
BC03LN_47,9
BC03LN_48,3
BC03LN_49,0
BC03LN_50,3
BC03LN_51,3
BC03LN_53,3
BC03LN_56,6
BC03LN_57,4
BC03LN_58,6
BC03LN_61,5
BC03LN_62,3
BC03LN_63,6
BC03LN_64,3
BC03LN_65,3
BC03LN_68,3
BC03LN_69,0
BC03LN_70,6
BC03LN_71,6
BC03LN_72,3
BC03LN_73,0
BC03LN_74,6
BC03LN_78,3
BC03LN_79,3
BC03LN_85,3
