cell	label
BC01_02	0
BC01_03	0
BC01_04	0
BC01_05	0
BC01_06	0
BC01_08	0
BC01_10	0
BC01_12	0
BC01_33	0
BC01_34	0
BC01_50	0
BC01_53	0
BC01_55	0
BC01_57	0
BC01_66	0
BC01_69	0
BC01_70	0
BC01_72	0
BC01_74	0
BC01_77	0
BC01_87	0
BC01_95	0
BC04_01	0
BC04_02	0
BC04_07	0
BC04_08	0
BC04_09	0
BC04_11	0
BC04_13	0
BC04_14	0
BC04_16	0
BC04_20	0
BC04_21	0
BC04_22	0
BC04_23	0
BC04_24	0
BC04_27	0
BC04_28	0
BC04_29	0
BC04_30	0
BC04_31	0
BC04_32	0
BC04_33	0
BC04_35	0
BC04_36	0
BC04_37	0
BC04_39	0
BC04_40	0
BC04_41	0
BC04_45	0
BC04_49	0
BC04_53	0
BC04_54	0
BC04_56	0
BC04_58	0
BC04_59	0
BC04_60	0
BC04_61	0
BC04_62	0
BC04_63	0
BC04_64	0
BC04_66	0
BC04_69	0
BC04_71	0
BC04_72	2
BC04_77	0
BC04_78	0
BC04_82	0
BC04_85	0
BC04_86	0
BC04_88	0
BC04_89	0
BC04_90	0
BC04_91	0
BC04_92	0
BC04_93	0
BC04_96	4
BC07_01	0
BC07_03	4
BC07_04	4
BC07_06	0
BC07_07	0
BC07_08	0
BC07_09	4
BC07_12	0
BC07_15	0
BC07_16	0
BC07_18	0
BC07_20	0
BC07_23	0
BC07_24	0
BC07_27	0
BC07_30	4
BC07_31	0
BC07_35	0
BC07_36	0
BC07_38	0
BC07_39	0
BC07_42	3
BC07_43	0
BC07_44	0
BC07_50	4
BC07_52	4
BC07_55	3
BC07_56	4
BC07_57	0
BC07_58	0
BC07_59	0
BC07_60	4
BC07_61	4
BC07_63	4
BC07_65	0
BC07_66	0
BC07_67	0
BC07_68	4
BC07_69	4
BC07_72	4
BC07_73	0
BC07_75	0
BC07_78	0
BC07_79	4
BC07_80	4
BC07_83	4
BC07_87	0
BC07_89	0
BC07_93	4
BC07_95	4
BC07LN_02	0
BC07LN_03	4
BC07LN_04	4
BC07LN_05	4
BC07LN_06	0
BC07LN_10	0
BC07LN_13	0
BC07LN_15	0
BC07LN_16	4
BC07LN_18	4
BC07LN_19	4
BC07LN_22	4
BC07LN_23	0
BC07LN_26	0
BC07LN_27	4
BC07LN_29	0
BC07LN_30	0
BC07LN_31	0
BC07LN_34	0
BC07LN_35	0
BC07LN_36	0
BC07LN_40	0
BC07LN_41	0
BC07LN_42	0
BC07LN_49	4
BC07LN_50	4
BC07LN_51	0
BC07LN_52	0
BC07LN_53	4
BC07LN_54	4
BC07LN_57	0
BC07LN_59	4
BC07LN_60	0
BC07LN_62	4
BC07LN_64	4
BC07LN_67	4
BC07LN_68	4
BC07LN_71	4
BC07LN_73	0
BC07LN_75	0
BC07LN_79	0
BC07LN_81	4
BC07LN_82	0
BC07LN_83	4
BC07LN_84	4
BC07LN_86	0
BC07LN_89	4
BC07LN_90	4
BC07LN_91	0
BC07LN_94	4
BC07LN_95	0
BC07LN_96	4
BC03_03	4
BC03_06	4
BC03_09	0
BC03_11	0
BC03_13	0
BC03_16	0
BC03_17	0
BC03_19	0
BC03_20	0
BC03_21	0
BC03_23	0
BC03_24	4
BC03_25	4
BC03_26	0
BC03_28	4
BC03_29	0
BC03_35	0
BC03_37	0
BC03_41	0
BC03_43	0
BC03_50	4
BC03_53	4
BC03_57	4
BC03_58	4
BC03_60	4
BC03_66	4
BC03_78	4
BC03_81	4
BC03_85	4
BC03_86	4
BC03_92	4
BC03_93	4
BC03_94	4
BC03LN_01	4
BC03LN_04	4
BC03LN_05	0
BC03LN_06	4
BC03LN_10	4
BC03LN_11	4
BC03LN_13	4
BC03LN_14	4
BC03LN_17	4
BC03LN_19	0
BC03LN_20	4
BC03LN_21	4
BC03LN_23	0
BC03LN_25	0
BC03LN_26	4
BC03LN_27	4
BC03LN_28	0
BC03LN_31	4
BC03LN_32	4
BC03LN_34	4
BC03LN_35	0
BC03LN_37	4
BC03LN_38	4
BC03LN_42	4
BC03LN_44	4
BC03LN_47	0
BC03LN_48	4
BC03LN_49	4
BC03LN_50	4
BC03LN_51	4
BC03LN_53	4
BC03LN_56	4
BC03LN_57	0
BC03LN_58	4
BC03LN_61	0
BC03LN_62	4
BC03LN_63	4
BC03LN_64	4
BC03LN_65	4
BC03LN_68	4
BC03LN_69	4
BC03LN_70	4
BC03LN_71	4
BC03LN_72	4
BC03LN_73	4
BC03LN_74	4
BC03LN_78	4
BC03LN_79	4
BC03LN_85	4
BC03LN_89	0
BC03LN_91	4
BC03LN_93	4
BC03LN_95	4
BC08_01	4
BC08_04	3
BC08_06	3
BC08_08	0
BC08_10	2
BC08_22	0
BC08_24	0
BC08_27	0
BC08_31	3
BC08_33	0
BC08_36	0
BC08_48	0
BC08_51	0
BC08_54	3
BC08_56	0
BC08_59	0
BC08_70	0
BC08_73	0
BC08_83	3
BC08_88	3
BC08_94	0
BC08_95	0
BC09_05	2
BC09_13	0
BC09_19	4
BC09_21	2
BC09_25	2
BC09_29	2
BC09_31	2
BC09_33	2
BC09_34	2
BC09_37	2
BC09_42	2
BC09_44	0
BC09_45	2
BC09_46	2
BC09_48	2
BC09_49	2
BC09_50	0
BC09_53	4
BC09_57	4
BC09_64	2
BC09_65	2
BC09_70	4
BC09_83	2
BC09_86	2
BC09_92	2
BC09_93	2
BC09_Re_01	0
BC09_Re_03	2
BC09_Re_05	0
BC09_Re_06	2
BC09_Re_07	2
BC09_Re_13	0
BC09_Re_14	4
BC09_Re_15	2
BC09_Re_21	2
BC09_Re_32	2
BC09_Re_37	2
BC09_Re_39	2
BC09_Re_41	2
BC09_Re_43	2
BC09_Re_44	2
BC09_Re_46	2
BC09_Re_54	2
BC09_Re_57	2
BC09_Re_59	2
BC09_Re_60	2
BC09_Re_61	2
BC09_Re_62	4
BC09_Re_66	2
BC09_Re_74	4
BC09_Re_80	2
BC09_Re_83	2
BC09_Re_88	2
BC09_Re_94	2
BC09_Re_95	2
BC10_07	2
BC10_09	0
BC10_16	0
BC10_20	3
BC10_43	2
BC10_47	0
BC10_54	0
BC10_58	0
BC10_67	3
BC10_69	0
BC10_73	0
BC10_80	0
BC10_81	0
BC10_85	0
BC10_95	0
BC02_02	3
BC02_08	3
BC02_09	3
BC02_10	3
BC02_11	3
BC02_12	3
BC02_13	3
BC02_14	3
BC02_15	3
BC02_18	3
BC02_19	3
BC02_22	3
BC02_24	3
BC02_25	3
BC02_26	3
BC02_28	3
BC02_31	3
BC02_34	3
BC02_44	3
BC02_47	3
BC02_50	3
BC02_51	3
BC02_53	3
BC02_54	3
BC02_55	3
BC02_58	3
BC02_59	3
BC02_60	3
BC02_61	3
BC02_62	3
BC02_63	3
BC02_64	3
BC02_66	3
BC02_67	3
BC02_68	0
BC02_70	3
BC02_71	3
BC02_73	3
BC02_74	3
BC02_75	3
BC02_76	3
BC02_79	3
BC02_81	3
BC02_82	3
BC02_83	3
BC02_86	3
BC02_88	3
BC02_89	3
BC02_90	3
BC02_93	3
BC02_94	3
BC02_95	3
BC02_96	3
BC05_01	1
BC05_02	1
BC05_04	1
BC05_07	1
BC05_08	1
BC05_09	1
BC05_12	1
BC05_13	1
BC05_16	1
BC05_17	1
BC05_18	1
BC05_20	1
BC05_21	1
BC05_22	1
BC05_23	1
BC05_25	1
BC05_26	1
BC05_27	1
BC05_28	1
BC05_29	1
BC05_30	1
BC05_31	1
BC05_32	1
BC05_33	1
BC05_34	1
BC05_35	1
BC05_36	1
BC05_37	1
BC05_38	1
BC05_39	1
BC05_41	1
BC05_42	1
BC05_43	1
BC05_44	1
BC05_45	1
BC05_46	1
BC05_47	1
BC05_48	1
BC05_49	1
BC05_50	1
BC05_52	1
BC05_53	1
BC05_55	1
BC05_57	1
BC05_59	1
BC05_60	1
BC05_61	1
BC05_62	1
BC05_63	1
BC05_64	1
BC05_68	1
BC05_69	1
BC05_70	1
BC05_71	1
BC05_72	1
BC05_73	1
BC05_74	2
BC05_75	1
BC05_77	1
BC05_78	1
BC05_79	1
BC05_80	1
BC05_81	1
BC05_83	1
BC05_84	1
BC05_85	1
BC05_86	1
BC05_87	1
BC05_88	1
BC05_90	1
BC05_91	1
BC05_92	1
BC05_93	1
BC05_94	1
BC05_95	1
BC05_96	1
BC11_01	0
BC11_04	0
BC11_07	0
BC11_28	0
BC11_43	0
BC11_56	0
BC11_69	0
BC11_70	0
BC11_78	0
BC11_81	0
BC11_88	0
BC06_04	2
BC06_08	0
BC06_10	0
BC06_21	4
BC06_23	0
BC06_25	4
BC06_26	4
BC06_27	0
BC06_28	0
BC06_29	2
BC06_32	0
BC06_39	0
BC06_40	4
BC06_43	0
BC06_58	4
BC06_60	0
BC06_61	4
