,label
0,5
1,5
2,2
3,5
4,5
5,1
6,5
7,5
8,1
9,6
10,6
11,3
12,6
13,0
14,2
15,1
16,1
17,1
18,2
19,6
20,0
21,2
22,2
23,4
24,0
25,2
26,5
27,3
28,6
29,6
30,1
31,6
32,6
33,6
34,1
35,6
36,1
37,1
38,6
39,1
40,6
41,2
43,1
44,0
45,2
46,3
47,0
48,3
49,0
50,5
51,0
52,5
53,5
54,1
55,1
56,4
57,1
58,5
59,0
60,5
61,6
62,2
63,2
64,1
65,5
66,0
67,0
68,6
69,6
70,0
71,4
72,3
73,1
74,0
75,1
76,0
77,6
78,0
79,3
80,3
81,1
82,2
83,0
84,3
85,0
86,4
87,5
88,2
89,1
90,0
91,4
92,1
93,2
94,6
95,1
96,4
97,0
98,0
99,0
100,6
101,3
102,4
103,2
104,5
105,1
106,5
107,1
108,0
109,0
110,3
111,6
112,1
113,6
114,0
115,2
116,5
117,0
118,0
119,6
120,2
121,0
122,2
123,0
124,6
125,0
126,6
127,2
128,2
129,1
130,1
131,3
132,6
133,2
134,0
135,0
136,5
137,1
138,0
139,3
140,3
141,2
142,5
143,4
144,6
145,2
146,1
147,0
148,0
149,0
150,6
151,3
152,0
153,5
154,6
155,4
156,1
157,5
158,0
159,1
160,1
161,4
162,0
163,4
164,0
165,4
166,0
167,2
168,5
169,6
170,1
171,5
172,1
173,2
174,2
175,3
176,2
177,6
178,6
179,0
180,4
181,6
182,0
183,5
184,1
185,6
186,0
187,6
188,0
189,0
190,4
191,0
192,0
193,2
194,1
195,0
196,0
197,6
198,0
199,0
200,6
201,6
202,1
203,6
204,6
205,0
206,4
207,6
208,1
209,1
210,3
211,0
212,1
213,2
214,1
215,3
216,0
217,4
218,0
219,6
220,0
221,2
222,6
223,3
224,6
225,4
226,0
227,0
228,6
229,0
230,5
231,0
232,6
233,6
234,3
235,6
236,4
237,6
238,2
239,0
240,6
241,1
242,6
243,1
244,1
245,2
246,1
247,3
248,1
249,1
250,0
251,3
252,6
253,6
254,5
255,4
256,2
257,0
258,6
259,5
260,6
261,0
262,6
263,1
264,6
265,2
266,6
267,2
268,6
269,6
270,0
271,4
272,5
273,1
274,1
275,0
276,2
277,4
278,6
279,6
280,1
281,0
282,4
283,2
284,6
285,6
286,5
287,3
288,0
289,0
290,2
291,6
292,3
293,6
294,6
295,3
296,6
297,1
298,0
299,5
300,0
302,6
303,0
304,6
305,4
306,6
307,1
308,1
309,6
310,0
311,5
312,1
313,0
314,1
315,2
316,5
317,1
318,2
319,2
320,6
321,1
322,1
323,5
324,2
325,1
326,1
327,0
328,1
329,6
330,0
331,4
332,0
333,1
334,6
335,6
337,6
338,0
339,1
340,6
341,0
342,5
343,4
344,2
345,0
346,2
347,2
348,0
349,3
350,2
351,6
352,2
353,3
354,1
355,6
356,1
357,5
358,5
359,2
360,6
361,6
362,6
363,6
364,6
365,1
366,6
367,5
368,6
369,1
370,2
371,3
372,6
373,3
374,4
375,3
376,0
377,2
378,4
379,0
380,6
381,5
382,1
383,3
384,0
385,2
386,1
387,0
388,6
389,1
390,5
391,0
392,0
393,0
394,4
395,6
396,1
397,6
398,4
399,1
400,5
401,6
402,5
403,6
404,1
405,6
406,4
407,1
408,3
409,2
410,3
411,6
412,4
413,6
414,5
415,2
416,6
417,4
418,1
419,0
420,5
421,0
422,6
423,2
424,0
425,4
426,6
427,1
428,6
429,3
430,4
431,6
432,3
433,6
434,5
435,1
436,6
437,6
438,0
439,0
440,4
441,1
442,4
443,6
444,0
445,0
446,1
447,5
448,6
449,4
450,6
451,1
452,6
453,0
454,0
455,4
456,1
457,5
458,0
459,6
460,6
462,6
463,5
464,0
465,6
466,1
467,5
468,0
469,2
470,1
471,0
472,0
473,3
474,2
475,0
476,4
477,1
478,6
479,0
480,5
481,5
482,1
483,4
484,1
485,3
486,1
487,4
488,5
489,3
490,6
491,1
492,6
493,0
494,3
495,1
496,0
497,1
498,4
499,5
500,6
501,3
502,1
503,1
504,0
505,1
506,6
507,5
508,4
509,6
510,2
511,1
512,0
513,1
514,4
515,2
516,6
517,1
518,0
519,3
520,0
521,5
522,4
523,1
524,0
525,6
526,0
527,6
528,1
529,2
530,0
531,3
532,6
533,5
534,4
535,5
536,1
537,5
538,0
539,6
540,1
541,4
542,1
543,6
544,1
545,1
546,0
547,1
548,0
549,1
550,3
551,4
552,0
553,1
554,2
555,5
556,5
557,2
558,1
559,6
560,6
561,2
562,6
563,6
564,4
565,3
566,6
567,6
568,1
569,1
