,label
1,3
2,3
3,3
4,3
5,3
6,3
7,3
8,3
9,3
10,2
11,2
12,3
13,2
14,2
15,3
16,3
17,3
18,3
19,3
20,2
21,2
22,3
23,3
24,4
25,2
26,3
27,3
28,5
29,2
30,2
31,3
32,2
33,2
34,2
35,3
36,2
37,3
38,3
39,2
40,3
41,2
42,3
44,3
45,2
46,3
47,1
48,2
49,3
50,2
51,3
52,2
53,3
54,3
55,3
56,3
57,4
58,3
59,3
60,2
61,3
62,2
63,3
64,3
65,3
66,3
67,2
68,2
69,2
70,2
71,2
72,4
73,3
74,3
75,2
76,3
77,2
78,2
79,2
80,1
81,1
82,3
83,3
84,2
85,1
86,2
87,3
88,3
89,3
90,3
91,2
92,4
93,3
94,3
95,2
96,3
97,4
98,2
99,2
100,2
101,2
102,5
103,4
104,3
105,3
106,3
107,3
108,3
109,2
110,2
111,3
112,2
113,3
114,2
115,2
116,3
117,3
118,2
119,2
120,2
121,3
122,2
123,3
124,2
125,2
126,2
127,2
128,3
129,3
130,3
131,3
132,5
133,2
134,3
135,2
136,2
137,3
138,3
139,2
140,3
141,3
142,3
143,3
144,4
145,2
146,3
147,3
148,2
149,2
150,2
151,2
152,5
153,2
154,3
155,2
156,4
157,3
158,3
159,2
160,3
161,3
162,4
163,2
164,4
165,2
166,4
167,2
168,3
169,3
170,2
171,3
172,3
173,3
174,3
175,3
176,2
177,3
178,2
179,2
180,2
181,1
182,2
183,2
184,3
185,3
186,2
187,2
188,2
189,2
190,2
191,4
192,2
193,2
194,3
195,3
196,2
197,2
198,2
199,2
200,2
201,2
202,2
203,3
204,2
205,2
206,2
207,2
208,2
209,3
210,3
211,5
212,2
213,3
214,3
215,3
216,3
217,2
218,4
219,2
220,2
221,2
222,3
223,2
224,2
225,2
226,4
227,2
228,2
229,2
230,2
231,3
232,2
233,2
234,2
235,5
236,2
237,4
238,2
239,3
240,2
241,2
242,3
243,2
244,3
245,3
246,3
247,3
248,5
249,3
250,3
251,2
252,3
253,2
254,2
255,3
256,4
257,3
258,2
259,2
260,3
261,2
262,2
263,2
264,3
265,2
266,3
267,2
268,3
269,2
270,2
271,2
272,4
273,3
274,3
275,3
276,2
277,3
278,4
279,2
280,2
281,3
282,2
283,4
284,3
285,2
286,2
287,3
288,5
289,2
290,2
291,3
292,2
293,1
294,2
295,2
296,2
297,2
298,3
299,2
300,3
301,2
303,2
304,2
305,2
306,1
307,2
308,3
309,3
310,2
311,2
312,3
313,3
314,2
315,3
316,3
317,3
318,3
319,3
320,2
321,2
322,3
323,3
324,3
325,3
326,3
327,3
328,2
329,3
330,2
331,2
332,4
333,2
334,3
335,2
336,2
338,2
339,2
340,3
341,2
342,2
343,3
344,4
345,3
346,2
347,3
348,3
349,2
350,5
351,3
352,2
353,3
354,3
355,3
356,2
357,3
358,3
359,3
360,3
361,2
362,2
363,2
364,2
365,2
366,3
367,2
368,3
369,2
370,3
371,3
372,3
373,2
374,5
375,4
376,5
377,2
378,3
379,4
380,2
381,2
382,3
383,3
384,2
385,2
386,2
387,3
388,2
389,2
390,3
391,3
392,2
393,2
394,2
395,4
396,2
397,3
398,2
399,1
400,3
401,3
402,2
403,3
404,2
405,3
406,2
407,4
408,3
409,5
410,3
411,5
412,2
413,4
414,2
415,3
416,3
417,2
418,4
419,3
420,2
421,3
422,2
423,2
424,3
425,2
426,2
427,2
428,3
429,2
430,2
431,4
432,2
433,5
434,2
435,3
436,3
437,2
438,2
439,2
440,2
441,4
442,3
443,4
444,2
445,2
446,2
447,3
448,3
449,2
450,4
451,2
452,3
453,2
454,2
455,2
456,4
457,3
458,3
459,2
460,2
461,2
463,2
464,3
465,2
466,2
467,3
468,3
469,2
470,3
471,3
472,2
473,2
474,3
475,3
476,2
477,4
478,3
479,2
480,2
481,3
482,3
483,3
484,4
485,3
486,1
487,3
488,1
489,3
490,3
491,2
492,3
493,2
494,2
495,2
496,3
497,2
498,3
499,4
500,3
501,2
502,5
503,3
504,3
505,2
506,3
507,2
508,3
509,4
510,2
511,3
512,3
513,2
514,3
515,4
516,3
517,2
518,3
519,2
520,5
521,2
522,3
523,4
524,3
525,2
526,2
527,2
528,2
529,3
530,3
531,2
532,5
533,2
534,3
535,4
536,3
537,3
538,3
539,2
540,2
541,3
542,4
543,3
544,2
545,3
546,3
547,2
548,3
549,2
550,3
551,2
552,1
553,2
554,3
555,3
556,3
557,3
558,3
559,3
560,2
561,2
562,3
563,2
564,2
565,4
566,5
567,2
568,2
569,3
570,3
571,2
572,3
573,2
574,2
575,2
576,3
577,3
578,2
579,2
580,2
581,3
582,2
583,2
584,2
585,2
586,3
587,3
588,3
590,2
591,3
592,3
593,3
594,4
595,3
596,3
597,3
598,3
599,2
600,2
601,2
602,2
603,3
604,2
605,2
606,3
607,2
608,3
609,2
610,5
611,3
612,3
613,4
614,2
615,3
616,3
617,3
618,2
619,3
620,2
