,0
0,1
1,1
2,0
3,1
4,1
5,1
6,1
7,1
8,1
9,2
10,3
11,1
12,3
13,2
14,0
15,1
16,1
17,1
18,0
19,2
20,2
21,0
22,0
23,4
24,2
25,1
26,1
27,2
28,3
29,3
30,1
31,3
32,2
33,3
34,1
35,2
36,1
37,1
38,3
39,1
40,2
41,0
43,1
44,2
45,0
46,2
47,2
48,1
49,2
50,1
51,2
52,1
53,1
54,1
55,1
56,4
57,1
58,1
59,2
60,1
61,2
62,0
63,1
64,1
65,1
66,2
67,2
68,2
69,3
70,2
71,4
72,1
73,1
74,2
75,1
76,2
77,3
78,2
79,2
80,2
81,1
82,0
83,2
84,2
85,2
86,1
87,1
88,0
89,1
90,2
91,4
92,1
93,0
94,3
95,1
96,4
97,2
98,2
99,2
100,2
101,3
102,4
103,0
104,1
105,1
106,1
107,1
108,2
109,2
110,1
111,2
112,1
113,2
114,2
115,0
116,1
117,2
118,2
119,2
120,1
121,2
122,0
123,2
124,2
125,2
126,2
127,0
128,1
129,1
130,1
131,1
132,2
133,0
134,2
135,2
136,1
137,1
138,2
139,1
140,1
141,0
142,1
143,4
144,2
145,0
146,1
147,2
148,2
149,2
150,2
151,1
152,2
153,1
154,3
155,4
156,1
157,1
158,2
159,1
160,1
161,4
162,2
163,4
164,2
165,4
166,2
167,0
168,1
169,2
170,1
171,1
172,1
173,0
174,0
175,2
176,1
177,2
178,2
179,2
180,3
181,2
182,2
183,1
184,1
185,3
186,2
187,2
188,2
189,2
190,4
191,2
192,2
193,0
194,1
195,2
196,2
197,3
198,2
199,2
200,2
201,2
202,1
203,2
204,3
205,2
206,2
207,2
208,1
209,1
210,1
211,2
212,1
213,0
214,1
215,1
216,2
217,4
218,2
219,2
220,2
221,0
222,2
223,2
224,2
225,4
226,2
227,2
228,2
229,2
230,1
231,2
232,2
233,2
234,1
235,2
236,4
237,2
238,0
239,2
240,3
241,1
242,2
243,1
244,1
245,0
246,1
247,3
248,1
249,1
250,2
251,1
252,2
253,3
254,1
255,4
256,0
257,2
258,3
259,1
260,2
261,2
262,2
263,1
264,2
265,0
266,3
267,0
268,3
269,2
270,2
271,4
272,1
273,1
274,1
275,2
276,0
277,4
278,3
279,2
280,1
281,2
282,4
283,1
284,2
285,2
286,1
287,1
288,2
289,2
290,0
291,2
292,2
293,2
294,3
295,2
296,2
297,1
298,2
299,1
300,2
302,3
303,2
304,2
305,3
306,2
307,1
308,1
309,3
310,2
311,1
312,1
313,2
314,1
315,0
316,1
317,1
318,0
319,2
320,2
321,1
322,1
323,1
324,0
325,1
326,1
327,2
328,1
329,3
330,2
331,4
332,2
333,1
334,2
335,2
337,2
338,2
339,1
340,2
341,2
342,1
343,4
344,0
345,2
346,0
347,1
348,2
349,3
350,0
351,2
352,0
353,1
354,1
355,3
356,1
357,1
358,1
359,0
360,3
361,2
362,3
363,2
364,2
365,1
366,3
367,1
368,3
369,1
370,0
371,1
372,2
373,1
374,4
375,3
376,2
377,0
378,4
379,2
380,3
381,1
382,1
383,3
384,2
385,2
386,1
387,2
388,2
389,1
390,1
391,2
392,2
393,2
394,4
395,2
396,1
397,2
398,3
399,1
400,1
401,2
402,1
403,2
404,1
405,2
406,4
407,1
408,1
409,0
410,1
411,2
412,4
413,3
414,1
415,0
416,2
417,4
418,1
419,2
420,1
421,2
422,2
423,0
424,2
425,2
426,2
427,1
428,2
429,2
430,4
431,2
432,1
433,2
434,1
435,1
436,2
437,2
438,2
439,2
440,4
441,1
442,4
443,2
444,2
445,2
446,1
447,1
448,3
449,4
450,3
451,1
452,3
453,2
454,2
455,4
456,1
457,1
458,2
459,3
460,3
462,2
463,1
464,2
465,2
466,1
467,1
468,2
469,1
470,1
471,2
472,2
473,1
474,0
475,2
476,4
477,1
478,2
479,2
480,1
481,1
482,1
483,4
484,1
485,2
486,1
487,3
488,1
489,1
490,2
491,1
492,3
493,2
494,2
495,1
496,2
497,1
498,4
499,1
500,2
501,3
502,1
503,1
504,2
505,1
506,3
507,1
508,4
509,2
510,0
511,1
512,2
513,1
514,4
515,0
516,2
517,1
518,2
519,1
520,2
521,1
522,4
523,1
524,2
525,2
526,2
527,2
528,1
529,1
530,2
531,3
532,2
533,1
534,4
535,1
536,1
537,1
538,2
539,2
540,1
541,4
542,1
543,2
544,1
545,1
546,2
547,1
548,2
549,1
550,2
551,3
552,2
553,1
554,0
555,1
556,1
557,0
558,1
559,3
560,2
561,0
562,3
563,2
564,4
565,3
566,3
567,2
568,1
569,1
570,3
571,0
572,3
573,2
574,2
575,1
576,1
577,2
578,2
579,2
580,1
581,2
582,2
583,2
584,2
585,1
586,1
587,1
589,2
590,1
591,1
592,1
593,4
594,0
595,1
596,1
597,1
598,2
599,2
600,2
601,2
602,1
603,2
604,2
605,1
606,2
607,1
608,2
609,1
610,1
611,1
612,4
613,3
614,1
615,1
616,1
617,2
618,1
619,2
620,1
621,3
622,1
623,4
624,2
625,1
626,2
627,0
628,3
629,4
630,1
631,1
632,2
633,1
634,1
635,1
636,4
638,2
639,1
640,1
641,1
642,1
643,4
644,2
645,1
646,4
647,2
649,0
650,2
651,0
652,2
653,2
654,1
655,2
656,3
657,1
658,4
659,0
660,2
661,1
662,2
663,2
664,2
665,1
666,4
667,2
668,1
669,2
670,2
671,2
672,3
673,2
674,1
675,1
676,2
677,1
678,2
679,2
680,2
681,1
682,1
683,2
684,2
685,4
686,2
687,3
688,1
689,3
690,1
691,2
692,1
693,1
694,4
695,2
696,2
697,2
698,2
699,1
700,2
701,2
702,1
703,1
704,1
705,2
706,3
707,2
708,2
709,1
710,0
711,1
712,0
713,2
714,1
715,2
716,4
717,2
718,1
719,1
720,2
721,2
722,2
723,1
724,3
725,2
726,4
727,3
728,2
729,2
730,1
731,1
732,1
733,2
734,2
735,2
736,0
737,1
738,2
739,1
740,4
741,4
742,1
743,0
744,2
745,0
746,3
747,2
748,0
749,2
750,2
751,1
752,0
753,0
754,2
755,2
756,3
757,1
758,1
759,1
760,1
761,1
762,2
763,2
764,1
765,2
766,2
767,2
768,1
769,3
770,2
771,2
772,4
773,1
774,0
775,1
776,4
777,1
778,1
779,2
781,2
782,0
783,0
784,1
785,4
786,3
787,0
788,1
789,1
790,1
791,2
792,4
793,2
794,2
795,0
796,1
797,1
798,2
799,2
800,2
801,4
802,2
803,4
804,1
805,2
806,0
807,2
808,1
809,1
810,2
811,2
812,2
813,0
814,3
815,1
816,3
817,4
818,4
819,2
820,0
